Region,Year,Life_expectancy
Asia,2000,66.8
Africa,2000,44.2
Asia,2015,68.6
European Union,2015,75.6
Asia,2000,60.9
Central America and Caribbean,2000,73.9
Central America and Caribbean,2000,69.4
Africa,2015,50.9
Oceania,2015,82.4
Central America and Caribbean,2000,70.8
Africa,2015,71.3
Africa,2000,44
Rest of Europe,2015,73
Oceania,2000,78.6
Rest of Europe,2000,74.4
Central America and Caribbean,2015,73.1
South America,2015,71.2
European Union,2015,82.3
Africa,2015,72.1
European Union,2000,76.6
North America,2015,78.7
European Union,2000,72.8
South America,2015,76.1
Africa,2000,52.2
Asia,2015,70.4
Asia,2000,70.2
European Union,2015,80.4
Rest of Europe,2000,69.9
European Union,2000,77.7
Africa,2015,72.1
Asia,2015,66.5
Asia,2000,68.6
Rest of Europe,2015,82.5
Africa,2015,59.9
Rest of Europe,2000,77.7
European Union,2015,77.6
Africa,2000,73.2
Asia,2015,70.6
European Union,2015,74.9
Central America and Caribbean,2015,62.5
Oceania,2000,63.1
Oceania,2000,68.7
Africa,2000,46.3
Asia,2000,72.6
European Union,2000,79
Africa,2015,56.1
European Union,2000,71.2
Africa,2000,70.6
Oceania,2000,79.2
South America,2000,70.5
Africa,2000,50.9
Africa,2015,59.9
South America,2015,76.1
South America,2000,72.8
Africa,2000,50.8
European Union,2000,70.3
Oceania,2015,68.5
Oceania,2015,67.1
Africa,2000,72.8
European Union,2000,77.9
North America,2000,79.1
Africa,2015,57.5
Africa,2000,58.3
Oceania,2015,72.7
Central America and Caribbean,2000,76.7
Middle East,2000,77.5
Asia,2015,76.3
Africa,2015,65
European Union,2015,82.3
Central America and Caribbean,2000,75.1
Middle East,2000,73.1
Asia,2015,75.5
Central America and Caribbean,2000,77.2
Oceania,2015,70.5
Africa,2000,51.9
Africa,2015,62.6
Africa,2015,75.9
Asia,2000,63.6
North America,2000,74.3
South America,2015,72.6
European Union,2000,75
Oceania,2000,59
Asia,2000,60.1
Africa,2015,64.1
South America,2000,73.6
Central America and Caribbean,2015,73.6
Middle East,2015,76.8
Asia,2000,58.8
Rest of Europe,2000,68.9
Africa,2000,49.9
